id,section,urgency,question,answer,answered_by,date
D-3,D · Sequence and dependencies — what waits on what,TONIGHT,Is any laboratory test dependent on another test finishing first?,,,
D-4,D · Sequence and dependencies — what waits on what,WEEK 1,Does the laboratory ever hold a sample until a related sample arrives so both can be run together?,,,
D-5,D · Sequence and dependencies — what waits on what,WEEK 1,Is there a test that only makes sense if an earlier one came back a certain way?,,,
D-6,D · Sequence and dependencies — what waits on what,WEEK 1,"Does an out-of-range result change what is tested next, or only what production does next?",,,
D-7,D · Sequence and dependencies — what waits on what,WEEK 1,Which laboratory work is time-critical — must happen within a window — and which can slide by a day?,,,
D-8,D · Sequence and dependencies — what waits on what,WEEK 1,"For the ones with a window, how wide is the window?",,,
D-9,D · Sequence and dependencies — what waits on what,WEEK 1,"What has to be prepared in advance — reagents, calibration, drying — and how long before?",,,
D-10,D · Sequence and dependencies — what waits on what,LATER,Is anything tested that nothing downstream actually uses?,,,
E-1,E · What runs at the same time,TONIGHT,Can the laboratory run more than one test at the same time? Which combinations?,,,
E-2,E · What runs at the same time,TONIGHT,Can two different batches be tested in the same session?,,,
E-3,E · What runs at the same time,TONIGHT,"When six piles need the same test, are they done one after another or all together?",,,
E-4,E · What runs at the same time,WEEK 1,"How much longer does six piles take than one pile? Six times, or less?",,,
E-5,E · What runs at the same time,WEEK 1,Is the paddy stream tested by the same person at the same bench as the main line?,,,
E-6,E · What runs at the same time,WEEK 1,Does testing the paddy soak ever collide with testing the main line? What gives way?,,,
E-7,E · What runs at the same time,WEEK 1,"If two checkpoints fall due at the same hour, which one is done first, and who decides?",,,
E-8,E · What runs at the same time,WEEK 1,"Is there a queue today, and how long does it get?",,,
E-9,E · What runs at the same time,LATER,What is the most the laboratory has ever had waiting at once?,,,
F-1,"F · Equipment, and how many at once",TONIGHT,How many samples can the oven hold at once?,,,
F-2,"F · Equipment, and how many at once",TONIGHT,"How many moisture meters are there, and how many people can use them at the same time?",,,
F-3,"F · Equipment, and how many at once",TONIGHT,How many pH and EC meters?,,,
F-4,"F · Equipment, and how many at once",TONIGHT,"Is there one balance, or several?",,,
F-5,"F · Equipment, and how many at once",WEEK 1,Which piece of equipment is the bottleneck on a busy day?,,,
F-6,"F · Equipment, and how many at once",WEEK 1,How long does the oven take to be free again after a run?,,,
F-7,"F · Equipment, and how many at once",WEEK 1,"Does anything need to cool, settle or stabilise before the next use, and for how long?",,,
F-8,"F · Equipment, and how many at once",WEEK 1,What happens when a meter is being calibrated — does testing stop?,,,
F-9,"F · Equipment, and how many at once",WEEK 1,"How often does calibration happen, and how long does it take?",,,
F-10,"F · Equipment, and how many at once",WEEK 1,"Is any test sent outside the factory? Which, and what is the turnaround in days?",,,
F-11,"F · Equipment, and how many at once",LATER,"If one more of any instrument were bought, which one, and how much time would it save?",,,
G-1,"G · People, shifts and cover",TONIGHT,How many people work in the laboratory?,,,
G-2,"G · People, shifts and cover",TONIGHT,What hours does the laboratory actually work? Start and end.,,,
G-3,"G · People, shifts and cover",TONIGHT,Is there anybody in the laboratory at night?,,,
G-4,"G · People, shifts and cover",TONIGHT,What happens to a checkpoint that falls due at 2am?,,,
G-5,"G · People, shifts and cover",TONIGHT,Sundays and holidays — does the laboratory run?,,,
G-6,"G · People, shifts and cover",WEEK 1,Can any of these tests be done by a production operator rather than a technician? Which?,,,
G-7,"G · People, shifts and cover",WEEK 1,Who covers when the technician is on leave or sick?,,,
G-8,"G · People, shifts and cover",WEEK 1,"Is there a handover between shifts, and what is passed on?",,,
G-9,"G · People, shifts and cover",WEEK 1,"Does the same person do the sampling and the testing, or two people?",,,
G-10,"G · People, shifts and cover",WEEK 1,How long does it take a new person to be trusted with each test?,,,
G-11,"G · People, shifts and cover",LATER,"Is there work the laboratory does that is not testing at all — cleaning, preparation, paperwork — and how many hours a day?",,,
H-1,"H · The checkpoints, one at a time",TONIGHT,"For each checkpoint: how long does the whole thing take, sample to number?",,,
H-2,"H · The checkpoints, one at a time",TONIGHT,For each checkpoint: how many people are needed?,,,
H-3,"H · The checkpoints, one at a time",TONIGHT,"For each checkpoint: does production wait, or carry on?",,,
H-4,"H · The checkpoints, one at a time",TONIGHT,For each checkpoint: how much warning does the laboratory need that it is coming?,,,
H-5,"H · The checkpoints, one at a time",WEEK 1,Which of the 25 are done at a fixed time of day regardless of the batch?,,,
H-6,"H · The checkpoints, one at a time",WEEK 1,"Which of the 25 are done ""when production calls""?",,,
H-7,"H · The checkpoints, one at a time",WEEK 1,Are any of the 25 done together as one visit to the floor?,,,
H-8,"H · The checkpoints, one at a time",WEEK 1,"Are any of the 25 skipped in practice, and under what circumstances?",,,
H-9,"H · The checkpoints, one at a time",WEEK 1,Are any of the 25 done more often than the process says?,,,
H-10,"H · The checkpoints, one at a time",WEEK 1,Is there a checkpoint the laboratory does that is not in the list of 25?,,,
H-11,"H · The checkpoints, one at a time",LATER,Which of the 25 does the laboratory consider least useful?,,,
I-1,I · The Turner window,TONIGHT,"Before T1 and after T1, six piles each — how long does the whole set of six take?",,,
I-2,I · The Turner window,TONIGHT,"Is the ""before T1"" set taken all at once, or pile by pile as each pile is about to be turned?",,,
I-3,I · The Turner window,TONIGHT,"How long before the T1 pass does the ""before"" sample need to be taken?",,,
I-4,I · The Turner window,TONIGHT,"How soon after a pile is turned is the ""after"" sample taken?",,,
I-5,I · The Turner window,TONIGHT,"Does the turner wait for the laboratory at any point, or never?",,,
I-6,I · The Turner window,WEEK 1,"If the laboratory is not ready, does T1 go ahead without the reading?",,,
I-7,I · The Turner window,WEEK 1,Two machines turning at once — does that double the sampling load in the same hour?,,,
I-8,I · The Turner window,WEEK 1,"Is the sample taken from the pile before the machine reaches it, or after it has passed?",,,
I-9,I · The Turner window,WEEK 1,Is a pile ever sampled twice because the first sample was taken at the wrong moment?,,,
I-10,I · The Turner window,WEEK 1,"How long does the whole T1 pass take across six piles, from the laboratory’s point of view?",,,
I-11,I · The Turner window,LATER,"Would the laboratory want a reading at T0, T2 or T3 if it were free? What would it tell you?",,,
J-1,J · Chicken manure and the 12-hour window,TONIGHT,Under 12 hours between arrival and use means no re-test. Is 12 the right number?,,,
J-2,J · Chicken manure and the 12-hour window,TONIGHT,"Measured from arrival to what, exactly — unloading, mixing start, or something else?",,,
J-3,J · Chicken manure and the 12-hour window,TONIGHT,"How long does the arrival test itself take, from lorry to number?",,,
J-4,J · Chicken manure and the 12-hour window,TONIGHT,"Does the lorry wait for the arrival test, or is it unloaded first?",,,
J-5,J · Chicken manure and the 12-hour window,WEEK 1,"If the manure sits longer than the window, is the full set repeated or only part of it?",,,
J-6,J · Chicken manure and the 12-hour window,WEEK 1,"How often does manure actually sit longer than the window? Most loads, or rarely?",,,
J-7,J · Chicken manure and the 12-hour window,WEEK 1,"Does manure arrive in one load or several, and does each load get its own test?",,,
J-8,J · Chicken manure and the 12-hour window,WEEK 1,How much notice does the laboratory get that manure is arriving?,,,
J-9,J · Chicken manure and the 12-hour window,WEEK 1,Does covered versus uncovered storage change how fast it changes?,,,
J-10,J · Chicken manure and the 12-hour window,LATER,"Has a load ever been rejected on arrival, and what happened to the batch that day?",,,
K-1,"K · When something goes wrong, and what it costs in time",TONIGHT,"A result comes back out of range. What happens next, and how long does it take?",,,
K-2,"K · When something goes wrong, and what it costs in time",TONIGHT,A retest — how long from deciding to retest to having the new number?,,,
K-3,"K · When something goes wrong, and what it costs in time",TONIGHT,"Moisture is low and misting is needed. How long is the misting, and how long before you re-measure?",,,
K-4,"K · When something goes wrong, and what it costs in time",TONIGHT,"After misting, is the re-measure the full test again, or a quicker check?",,,
K-5,"K · When something goes wrong, and what it costs in time",WEEK 1,A sample is lost or spoiled. How long to get another one?,,,
K-6,"K · When something goes wrong, and what it costs in time",WEEK 1,"An instrument fails mid-batch. What happens, and how long is the delay?",,,
K-7,"K · When something goes wrong, and what it costs in time",WEEK 1,"Power fails during a drying run — is the result void, and how much time is lost?",,,
K-8,"K · When something goes wrong, and what it costs in time",WEEK 1,"How often does a checkpoint have to be repeated? Once a batch, once a month?",,,
K-9,"K · When something goes wrong, and what it costs in time",WEEK 1,"A batch is held longer than planned. Do any checkpoints have to be repeated, and which?",,,
K-10,"K · When something goes wrong, and what it costs in time",WEEK 1,How long does the laboratory keep a sample in case it is needed again?,,,
K-11,"K · When something goes wrong, and what it costs in time",LATER,What is the longest a laboratory problem has ever delayed a batch?,,,
L-1,L · Decisions the laboratory makes,TONIGHT,Which laboratory readings actually change what production does next? Name them.,,,
L-2,L · Decisions the laboratory makes,TONIGHT,"The moisture decision: at or above 68 proceed, below 67 mist. What happens between 67 and 68?",,,
L-3,L · Decisions the laboratory makes,TONIGHT,"Who makes that call — the technician, the laboratory in charge, or production?",,,
L-4,L · Decisions the laboratory makes,TONIGHT,How long does that decision normally take once the number exists?,,,
L-5,L · Decisions the laboratory makes,TONIGHT,Does anyone have to approve a laboratory result before production acts on it?,,,
L-6,L · Decisions the laboratory makes,WEEK 1,"If yes, who, and how long does that normally take?",,,
L-7,L · Decisions the laboratory makes,WEEK 1,"At night and at weekends, who makes the call?",,,
L-8,L · Decisions the laboratory makes,WEEK 1,Is a decision ever made on a number before it is formally recorded?,,,
L-9,L · Decisions the laboratory makes,WEEK 1,Does production ever overrule the laboratory? What happens then?,,,
L-10,L · Decisions the laboratory makes,WEEK 1,"How is the decision communicated — phone, in person, a book?",,,
L-11,L · Decisions the laboratory makes,LATER,Is there a decision the laboratory would like to make but currently cannot?,,,
M-1,"M · What stops production, and for how long",TONIGHT,"Which laboratory results, if missing, actually stop production today?",,,
M-2,"M · What stops production, and for how long",TONIGHT,"When that happens, what does production do — wait, or continue and record it?",,,
M-3,"M · What stops production, and for how long",TONIGHT,"How long has production actually been stopped by the laboratory, at most?",,,
M-4,"M · What stops production, and for how long",TONIGHT,Can anybody let production continue without the result? Who?,,,
M-5,"M · What stops production, and for how long",WEEK 1,"When that override happens, is anything written down?",,,
M-6,"M · What stops production, and for how long",WEEK 1,Are there results the laboratory thinks should stop production but currently do not?,,,
M-7,"M · What stops production, and for how long",WEEK 1,Are any of the four gates not really gates in practice?,,,
M-8,"M · What stops production, and for how long",WEEK 1,"Would a warning an hour before a gate is due be useful, or noise?",,,
M-9,"M · What stops production, and for how long",LATER,Should a result ever be too old to rely on? After how long?,,,
N-1,N · How the number travels today,TONIGHT,"When a number exists, how does the person who needs it find out?",,,
N-2,N · How the number travels today,TONIGHT,"How long does that take — immediately, at the end of the shift, next morning?",,,
N-3,N · How the number travels today,TONIGHT,Where is the number written down first?,,,
N-4,N · How the number travels today,TONIGHT,"Does the same number get written more than once, in more than one place?",,,
N-5,N · How the number travels today,WEEK 1,"Who else sees it, and when?",,,
N-6,N · How the number travels today,WEEK 1,"Is anything typed into a computer today? What, and by whom, and when?",,,
N-7,N · How the number travels today,WEEK 1,"At the end of a batch, is there a summary of all its laboratory results anywhere?",,,
N-8,N · How the number travels today,WEEK 1,How long does producing that summary take?,,,
N-9,N · How the number travels today,WEEK 1,Has a number ever gone missing between the bench and the person who needed it?,,,
N-10,N · How the number travels today,WEEK 1,"When an out-of-range number is reported, what happens to the person who reported it — nothing, a question, or a problem? Answer this one plainly; it predicts the quality of every number the system will collect.",,,
N-11,N · How the number travels today,LATER,"What does management ask the laboratory for, and how long does answering take?",,,
O-1,O · What makes a test take longer than usual,TONIGHT,"On a bad day, how much longer does a moisture result take than on a good day?",,,
O-2,O · What makes a test take longer than usual,WEEK 1,"What is the usual cause of a delay — waiting for the sample, waiting for equipment, or waiting for a person?",,,
O-3,O · What makes a test take longer than usual,WEEK 1,Does the time of day change how long things take?,,,
O-4,O · What makes a test take longer than usual,WEEK 1,"Does the weather change anything — humidity, rain, the material being wetter?",,,
O-5,O · What makes a test take longer than usual,WEEK 1,Is the first batch of a season slower than a settled one?,,,
O-6,O · What makes a test take longer than usual,WEEK 1,"Does a new technician change these times, and by how much?",,,
O-7,O · What makes a test take longer than usual,WEEK 1,Which test has the most unpredictable duration?,,,
O-8,O · What makes a test take longer than usual,LATER,"If you had to promise production a time for each result, what would you promise?",,,
P-1,P · Capacity — where the laboratory breaks,TONIGHT,How many batches can run at once before the laboratory cannot keep up?,,,
P-2,P · Capacity — where the laboratory breaks,TONIGHT,"On the busiest day of a batch, how many hours of laboratory work is there?",,,
P-3,P · Capacity — where the laboratory breaks,WEEK 1,"Which day of the 20 is the busiest for the laboratory, and why?",,,
P-4,P · Capacity — where the laboratory breaks,WEEK 1,"If two batches were offset by a few days, would that help or make it worse?",,,
P-5,P · Capacity — where the laboratory breaks,WEEK 1,What is the first thing that would be dropped if the laboratory ran out of time?,,,
P-6,P · Capacity — where the laboratory breaks,WEEK 1,Is any of the current work done outside normal hours because there is no room in the day?,,,
P-7,P · Capacity — where the laboratory breaks,LATER,At what number of simultaneous batches does the laboratory need another person?,,,
P-8,P · Capacity — where the laboratory breaks,LATER,At what number does it need another instrument?,,,
Q-1,Q · What the laboratory is waiting on from everybody else,TONIGHT,What does the laboratory most often wait for that is not its own doing?,,,
Q-2,Q · What the laboratory is waiting on from everybody else,TONIGHT,How much notice does the laboratory get before a sample is needed today?,,,
Q-3,Q · What the laboratory is waiting on from everybody else,TONIGHT,How much notice would be enough?,,,
Q-4,Q · What the laboratory is waiting on from everybody else,WEEK 1,Is the laboratory ever told about a batch after it has already started?,,,
Q-5,Q · What the laboratory is waiting on from everybody else,WEEK 1,Does the laboratory know the plan for the next 24 hours? How?,,,
Q-6,Q · What the laboratory is waiting on from everybody else,WEEK 1,"When production changes the plan, how does the laboratory find out?",,,
Q-7,Q · What the laboratory is waiting on from everybody else,WEEK 1,"Is the laboratory ever asked for a test that was not planned, and how often?",,,
Q-8,Q · What the laboratory is waiting on from everybody else,LATER,"What one piece of information, given earlier, would save the laboratory the most time?",,,
R-1,R · Tomorrow — what the app has to do on day one,TONIGHT,"What is the batch identifier for tomorrow’s batch? The exact text, as it will be said out loud.",,,
R-2,R · Tomorrow — what the app has to do on day one,TONIGHT,What stage will that batch be at when the app is handed over?,,,
R-3,R · Tomorrow — what the app has to do on day one,TONIGHT,Which checkpoints will realistically be hit in the first 48 hours?,,,
R-4,R · Tomorrow — what the app has to do on day one,TONIGHT,"How many phones, and who gets which — laboratory, operator, supervisor?",,,
R-5,R · Tomorrow — what the app has to do on day one,TONIGHT,"Who trains them, and how long does that take?",,,
R-6,R · Tomorrow — what the app has to do on day one,TONIGHT,Is there signal where the samples are taken and where the tests are done?,,,
R-7,R · Tomorrow — what the app has to do on day one,TONIGHT,"Will they also keep the paper record tomorrow, in parallel? (They should.)",,,
R-8,R · Tomorrow — what the app has to do on day one,TONIGHT,"If the app is wrong or confusing tomorrow, who do they call?",,,
R-9,R · Tomorrow — what the app has to do on day one,TONIGHT,"If the app fails entirely, does work stop or continue on paper?",,,
R-10,R · Tomorrow — what the app has to do on day one,TONIGHT,"What single thing, at the end of tomorrow, would make you call it a success?",,,
